[GLUe]_0	Values[V_OXPHOS].InitialValue	(OXPHOS).Flux
0.5	19.11	6.82533
0.5	19.145	6.82746
0.5	19.18	6.82958
0.5	19.215	6.83169
0.5	19.25	6.83379
0.5	19.285	6.83587
0.5	19.32	6.83793
0.5	19.355	6.83999
0.5	19.39	6.84203
0.5	19.425	6.84405
0.5	19.46	6.84607
0.5	19.495	6.84807
0.5	19.53	6.85006
0.5	19.565	6.85203
0.5	19.6	6.854
0.5	19.635	6.85595
0.5	19.67	6.85789
0.5	19.705	6.85981
0.5	19.74	6.86173
0.5	19.775	6.86363
0.5	19.81	6.86552
0.5	19.845	6.8674
0.5	19.88	6.86927
0.5	19.915	6.87112
0.5	19.95	6.87297
0.5	19.985	6.8748
0.5	20.02	6.87662
0.5	20.055	6.87843
0.5	20.09	6.88023
0.5	20.125	6.88201
0.5	20.16	6.88379
0.5	20.195	6.88556
0.5	20.23	6.88731
0.5	20.265	6.88905
0.5	20.3	6.89079
0.5	20.335	6.89251
0.5	20.37	6.89422
0.5	20.405	6.89592
0.5	20.44	6.89761
0.5	20.475	6.89929
0.5	20.51	6.90096
0.5	20.545	6.90262
0.5	20.58	6.90428
0.5	20.615	6.90592
0.5	20.65	6.90755
0.5	20.685	6.90917
0.5	20.72	6.91078
0.5	20.755	6.91238
0.5	20.79	6.91397
0.5	20.825	6.91555
0.5	20.86	6.91713
0.5	20.895	6.91869
0.5	20.93	6.92024
0.5	20.965	6.92179
0.5	21	6.92332
0.5	21.035	6.92485
0.5	21.07	6.92637
0.5	21.105	6.92788
0.5	21.14	6.92938
0.5	21.175	6.93087
0.5	21.21	6.93235
0.5	21.245	6.93383
0.5	21.28	6.93529
0.5	21.315	6.93675
0.5	21.35	6.9382
0.5	21.385	6.93964
0.5	21.42	6.94107
0.5	21.455	6.94249
0.5	21.49	6.94391
0.5	21.525	6.94531
0.5	21.56	6.94671
0.5	21.595	6.9481
0.5	21.63	6.94949
0.5	21.665	6.95086
0.5	21.7	6.95223
0.5	21.735	6.95359
0.5	21.77	6.95494
0.5	21.805	6.95628
0.5	21.84	6.95762
0.5	21.875	6.95895
0.5	21.91	6.96027
0.5	21.945	6.96158
0.5	21.98	6.96289
0.5	22.015	6.96419
0.5	22.05	6.96548
0.5	22.085	6.96677
0.5	22.12	6.96805
0.5	22.155	6.96932
0.5	22.19	6.97058
0.5	22.225	6.97184
0.5	22.26	6.97309
0.5	22.295	6.97433
0.5	22.33	6.97556
0.5	22.365	6.97679
0.5	22.4	6.97802
0.5	22.435	6.97923
0.5	22.47	6.98044
0.5	22.505	6.98164
0.5	22.54	6.98284
0.5	22.575	6.98403
0.5	22.61	6.98521
0.5	22.645	6.98639
0.5	22.68	6.98756
0.5	22.715	6.98872
0.5	22.75	6.98988
0.5	22.785	6.99103
0.5	22.82	6.99218
0.5	22.855	6.99331
0.5	22.89	6.99445
0.5	22.925	6.99557
0.5	22.96	6.9967
0.5	22.995	6.99781
0.5	23.03	6.99892
0.5	23.065	7.00002
0.5	23.1	7.00112
0.5	23.135	7.00221
0.5	23.17	7.0033
0.5	23.205	7.00438
0.5	23.24	7.00545
0.5	23.275	7.00652
0.5	23.31	7.00759
0.5	23.345	7.00864
0.5	23.38	7.0097
0.5	23.415	7.01074
0.5	23.45	7.01178
0.5	23.485	7.01282
0.5	23.52	7.01385
0.5	23.555	7.01488
0.5	23.59	7.0159
0.5	23.625	7.01691
0.5	23.66	7.01792
0.5	23.695	7.01893
0.5	23.73	7.01992
0.5	23.765	7.02092
0.5	23.8	7.02191
0.5	23.835	7.02289
0.5	23.87	7.02387
0.5	23.905	7.02485
0.5	23.94	7.02582
0.5	23.975	7.02678
0.5	24.01	7.02774
0.5	24.045	7.0287
0.5	24.08	7.02965
0.5	24.115	7.03059
0.5	24.15	7.03153
0.5	24.185	7.03247
0.5	24.22	7.0334
0.5	24.255	7.03433
0.5	24.29	7.03525
0.5	24.325	7.03617
0.5	24.36	7.03708
0.5	24.395	7.03799
0.5	24.43	7.03889
0.5	24.465	7.03979
0.5	24.5	7.04069
0.5	24.535	7.04158
0.5	24.57	7.04246
0.5	24.605	7.04335
0.5	24.64	7.04423
0.5	24.675	7.0451
0.5	24.71	7.04597
